benchmark,config,status,solved,sat,unsat,noproperty,best,time_cpu,memory
array-examples/standard_copy7_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.0,688.9
array-examples/standard_copy7_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.7,787.7
array-examples/standard_copy7_ground-2.yml,cbmc_default,mo,0,0,0,0,0,275.9,15000.0
array-examples/standard_copy7_ground-2.yml,esbmc_default,to,0,0,0,0,0,901.2,6608.0
array-examples/standard_copy7_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.7,591.3
array-examples/standard_copy7_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.7,810.3
array-examples/standard_copy8_ground-1.yml,cbmc_default,mo,0,0,0,0,0,306.1,15000.0
array-examples/standard_copy8_ground-1.yml,esbmc_default,to,0,0,0,0,0,901.2,7215.1
array-examples/standard_copy8_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.2,605.4
array-examples/standard_copy8_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.7,891.0
array-examples/standard_copy8_ground-2.yml,cbmc_default,mo,0,0,0,0,0,317.0,15000.0
array-examples/standard_copy8_ground-2.yml,esbmc_default,to,0,0,0,0,0,901.3,7690.8
array-examples/standard_copy8_ground-2.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.0,682.9
array-examples/standard_copy8_ground-2.yml,uautomizer_default,to,0,0,0,0,0,900.8,831.5
array-examples/standard_copy9_ground-1.yml,cbmc_default,mo,0,0,0,0,0,337.4,15000.0
array-examples/standard_copy9_ground-1.yml,esbmc_default,to,0,0,0,0,0,901.3,8322.3
array-examples/standard_copy9_ground-1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.7,662.8
array-examples/standard_copy9_ground-1.yml,uautomizer_default,to,0,0,0,0,0,900.2,807.2
array-examples/standard_copy9_ground-2.yml,cbmc_default,mo,0,0,0,0,0,314.5,15000.0
array-examples/standard_copy9_ground-2.yml,esbmc_default,to,0,0,0,0,0,901.3,7793.4
